id_anime;anime_name;anime_score;studioname;genre;themes;demographic;rating
61;D.N.Angel;7.17;Xebec;Action, Comedy, Fantasy, Romance;School;Shoujo;PG-13 - Teens 13 or older
250;Konjiki no Gash Bell!!;7.54;Toei Animation;Adventure, Comedy, Supernatural;Mythology;Shounen;PG-13 - Teens 13 or older
521;Mermaid Melody Pichi Pichi Pitch;7.14;Actas;Adventure, Comedy, Romance;Mahou Shoujo, Music;Shoujo;PG - Children
1816;Sonic X;6.53;TMS Entertainment;Action, Adventure, Comedy, Sci-Fi;Mecha;Kids;PG - Children
230;Air Master;6.98;Toei Animation;Action, Comedy;Martial Arts;Seinen;R - 17+ (violence & profanity)
407;Tantei Gakuen Q;7.74;Pierrot;Comedy, Drama, Mystery;Detective;Shounen;PG-13 - Teens 13 or older
178;Ultra Maniac;7.16;Ashi Productions;Comedy, Romance;Mahou Shoujo, School;Shoujo;G - All Ages
971;Astro Boy: Tetsuwan Atom;7;Tezuka Productions;Action, Adventure, Sci-Fi;Mecha, Super Power;Shounen;G - All Ages
292;Dear Boys;6.79;A.C.G.T.;Drama, Sports;Team Sports;Shounen;PG-13 - Teens 13 or older
236;E's Otherwise;6.61;Pierrot;Adventure, Comedy, Drama, Sci-Fi, Supernatural;Military;Shounen;PG-13 - Teens 13 or older
id_anime;anime_name;anime_score;studioname;genre;themes;demographic;rating
1713;Submarine Super 99;6.19;Vega Entertainment;Action, Adventure, Sci-Fi;Military;Shounen;PG-13 - Teens 13 or older
