id_anime;anime_name;anime_score;studioname;genre;themes;demographic;rating
457;Mushishi;8.67;Artland;Adventure, Fantasy, Mystery, Slice of Life, Supernatural;Adult Cast, Historical, Iyashikei;Seinen;PG-13 - Teens 13 or older
68;Black Cat (TV);7.33;Gonzo;Adventure, Comedy, Sci-Fi;Super Power;Shounen;PG-13 - Teens 13 or older
322;Paradise Kiss;7.85;Madhouse;Drama, Romance;School, Visual Arts;Josei;R - 17+ (violence & profanity)
469;Karin;7.12;J.C.Staff;Comedy, Romance, Supernatural;School, Vampire;Shounen;PG-13 - Teens 13 or older
477;Aria the Animation;7.67;Hal Film Maker;Fantasy, Sci-Fi, Slice of Life;Iyashikei;Shounen;G - All Ages
658;Touhai Densetsu Akagi: Yami ni Maiorita Tensai;7.93;Madhouse;Suspense;Adult Cast, High Stakes Game, Organized Crime, Psychological, Strategy Game;Seinen;R - 17+ (violence & profanity)
388;Capeta;7.83;Studio Comet;Sports;Racing;Shounen;PG - Children
915;Ginga Densetsu Weed;7.22;Studio Deen;Adventure, Drama;Anthropomorphic;Shounen;PG-13 - Teens 13 or older
2110;Rockman.EXE Beast;7.05;Xebec;Action, Adventure, Sci-Fi;Mecha, Strategy Game;Shounen;PG - Children
id_anime;anime_name;anime_score;studioname;genre;themes;demographic;rating
