id_anime;anime_name;anime_score;studioname;genre;themes;demographic;rating
57;Beck;8.29;Madhouse;Comedy, Drama, Slice of Life;Music;Shounen;R - 17+ (violence & profanity)
24;School Rumble;7.89;Studio Comet;Comedy, Romance;Gag Humor, Love Polygon, School;Shounen;PG-13 - Teens 13 or older
482;Yu☆Gi☆Oh! Duel Monsters GX;7.18;Gallop;Action, Comedy, Fantasy;Strategy Game;Shounen;PG-13 - Teens 13 or older
240;Genshiken;7.64;Palm Studio;Comedy, Slice of Life;Otaku Culture, Parody;Seinen;PG-13 - Teens 13 or older
627;Major S1;8.22;Studio Hibari;Sports;Team Sports;Shounen;PG-13 - Teens 13 or older
74;Gakuen Alice;7.64;Group TAC;Comedy;Love Polygon, School, Super Power;Shoujo;G - All Ages
343;Tsukuyomi: Moon Phase;6.95;Shaft;Comedy, Fantasy, Romance;Vampire;Seinen;PG-13 - Teens 13 or older
143;Kannazuki no Miko;6.81;TNK;Drama, Girls Love, Romance, Supernatural;Mecha;Shounen;PG-13 - Teens 13 or older
173;Tactics;7.2;Studio Deen;Comedy, Drama, Mystery, Supernatural;Historical, Mythology;Shounen;PG-13 - Teens 13 or older
2213;Black Jack (TV);7.58;Tezuka Productions;Drama;Medical;Shounen;PG-13 - Teens 13 or older
247;Harukanaru Toki no Naka de: Hachiyou Shou;7;Yumeta Company;Fantasy, Supernatural;Historical, Isekai, Mythology, Reverse Harem, Time Travel;Shoujo;PG-13 - Teens 13 or older
29;Zipang;7.49;Studio Deen;Action, Drama, Sci-Fi;Adult Cast, Historical, Military, Time Travel;Seinen;PG-13 - Teens 13 or older
2109;Rockman.EXE Stream;7.05;Xebec;Action, Adventure, Sci-Fi;Mecha, School, Strategy Game;Shounen;PG - Children
1167;Samurai Gun;5.95;Studio Egg;Action;Historical;Seinen;R - 17+ (violence & profanity)
23;Ring ni Kakero 1;6.39;Toei Animation;Action, Sports;Combat Sports;Shounen;PG - Children
