id_anime;anime_name;anime_score;studioname;genre;themes;demographic;rating
121;Fullmetal Alchemist;8.12;Bones;Action, Adventure, Drama, Fantasy;Military;Shounen;R - 17+ (violence & profanity)
329;Planetes;8.27;Sunrise;Drama, Romance, Sci-Fi;Adult Cast, Space, Workplace;Seinen;PG-13 - Teens 13 or older
60;Chrno Crusade;7.62;Gonzo;Action, Romance, Supernatural;Historical, Mythology;Shounen;R - 17+ (violence & profanity)
114;Sakigake!! Cromartie Koukou;7.9;Production I.G;Comedy;Delinquents, Gag Humor, School;Shounen;PG-13 - Teens 13 or older
1050;Bobobo-bo Bo-bobo;7.48;Toei Animation;Adventure, Comedy, Sci-Fi;Gag Humor;Shounen;PG-13 - Teens 13 or older
394;Ai Yori Aoshi: Enishi;7.12;J.C.Staff;Comedy, Drama, Romance;Harem;Seinen;PG-13 - Teens 13 or older
161;Peace Maker Kurogane;7.3;Gonzo;Action, Comedy;Historical, Samurai;Shounen;R - 17+ (violence & profanity)
130;Saiyuuki Reload;7.38;Pierrot;Action, Adventure, Comedy, Drama, Supernatural;Mythology;Josei;PG-13 - Teens 13 or older
id_anime;anime_name;anime_score;studioname;genre;themes;demographic;rating
