id_anime;anime_name;anime_score;studioname;genre;themes;demographic;rating
853;Ouran Koukou Host Club;8.16;Bones;Comedy, Romance;Crossdressing, Reverse Harem, School;Shoujo;PG-13 - Teens 13 or older
918;Gintama;8.94;Sunrise;Action, Comedy, Sci-Fi;Gag Humor, Historical, Parody, Samurai;Shounen;PG-13 - Teens 13 or older
889;Black Lagoon;8.03;Madhouse;Action;Adult Cast, Organized Crime;Seinen;R - 17+ (violence & profanity)
877;Nana;8.53;Madhouse;Drama, Romance;Adult Cast, Love Polygon, Music;Shoujo;R+ - Mild Nudity
861;xxxHOLiC;7.99;Production I.G;Comedy, Drama, Mystery, Supernatural;Psychological;Seinen;PG-13 - Teens 13 or older
846;School Rumble Ni Gakki;7.99;Studio Comet;Comedy, Romance;Gag Humor, Love Polygon, School;Shounen;PG-13 - Teens 13 or older
957;Saiunkoku Monogatari;7.89;Madhouse;Adventure, Fantasy, Romance;Historical, Reverse Harem;Shoujo;PG-13 - Teens 13 or older
962;Aria the Natural;8.17;Hal Film Maker;Fantasy, Sci-Fi, Slice of Life;Iyashikei;Shounen;G - All Ages
953;Juu Ou Sei;7.21;Bones;Action, Adventure, Drama, Mystery, Sci-Fi;Survival;Shoujo;R - 17+ (violence & profanity)
880;Aa! Megami-sama! Sorezore no Tsubasa;7.55;AIC;Comedy, Romance, Supernatural;Harem;Seinen;PG-13 - Teens 13 or older
907;Princess Princess;6.99;Studio Deen;Comedy, Drama;Crossdressing, School;Shoujo;PG-13 - Teens 13 or older
id_anime;anime_name;anime_score;studioname;genre;themes;demographic;rating
916;Tokkou;6.54;AIC Spirits;Action, Comedy, Horror, Mystery, Supernatural;Detective;Seinen;R - 17+ (violence & profanity)
1516;Kirarin☆Revolution;7.05;SynergySP;Comedy, Drama, Romance;Showbiz;Shoujo;PG-13 - Teens 13 or older
2214;Black Jack 21;7.54;Tezuka Productions;Action, Drama;Medical;Shounen;PG-13 - Teens 13 or older
2713;Rockman.EXE Beast+;6.8;Xebec;Action, Adventure, Sci-Fi;Mecha, Strategy Game;Shounen;PG - Children
id_anime;anime_name;anime_score;studioname;genre;themes;demographic;rating
968;Kakutou Bijin Wulong: Rebirth;6.85;TMS Entertainment;Action, Comedy;Martial Arts, School;Shounen;R - 17+ (violence & profanity)
2786;Bakegyamon;6.61;Radix;Action, Fantasy;Isekai, Mythology, Strategy Game;Shounen;PG - Children
1771;Ring ni Kakero 1: Nichibei Kessen-hen;6.56;Toei Animation;Action, Sports;Combat Sports;Shounen;PG-13 - Teens 13 or older
