id_anime;anime_name;anime_score;studioname;genre;themes;demographic;rating
8525;Kami nomi zo Shiru Sekai;7.67;Manglobe;Comedy, Romance, Supernatural;Harem, Otaku Culture;Shounen;PG-13 - Teens 13 or older
7674;Bakuman.;8.19;J.C.Staff;Comedy, Drama, Romance;Otaku Culture;Shounen;PG-13 - Teens 13 or older
9181;Motto To LOVE-Ru;7.28;Xebec;Comedy, Sci-Fi, Ecchi;Harem, School;Shounen;PG-13 - Teens 13 or older
8407;Sora no Otoshimono: Forte;7.46;AIC ASTA;Comedy, Romance, Sci-Fi, Supernatural, Ecchi;Harem;Shounen;PG-13 - Teens 13 or older
8129;Kuragehime;8.12;Brain's Base;Comedy;Crossdressing, Visual Arts;Josei;PG-13 - Teens 13 or older
8476;Otome Youkai Zakuro;7.44;J.C.Staff;Romance, Supernatural;Historical, Military, Mythology;Seinen;PG-13 - Teens 13 or older
9065;Hakuouki: Hekketsuroku;7.57;Studio Deen;Action, Drama, Supernatural;Historical, Samurai;Josei;R - 17+ (violence & profanity)
id_anime;anime_name;anime_score;studioname;genre;themes;demographic;rating
9799;Shin-Men;6.12;Shin-Ei Animation;Action, Comedy;Super Power;Seinen;G - All Ages
9395;Miyanishi Tatsuya Gekijou: Omae Umasou da na;6.28;Ajia-Do;Adventure;Anthropomorphic;Kids;G - All Ages
