id_anime;anime_name;anime_score;studioname;genre;themes;demographic;rating
100;Shin Shirayuki-hime Densetsu Prétear;7.17;Hal Film Maker;Comedy, Drama, Fantasy, Romance;Mahou Shoujo, Reverse Harem, Super Power;Shoujo;PG-13 - Teens 13 or older
253;Jungle wa Itsumo Hare nochi Guu;7.82;Shin-Ei Animation;Comedy, Slice of Life;Gag Humor, School;Shounen;PG-13 - Teens 13 or older
403;Hanaukyou Maid-tai;6.58;Daume;Comedy, Romance, Ecchi;Harem;Shounen;R+ - Mild Nudity
1492;Project ARMS;6.94;TMS Entertainment;Action;Martial Arts, Super Power;Shounen;R - 17+ (violence & profanity)
555;Koutetsu Tenshi Kurumi 2;6.28;OLM;Comedy, Girls Love, Sci-Fi;Mecha;Shounen;R+ - Mild Nudity
2014;Taiho Shichau zo: Second Season;7.39;Studio Deen;Action, Comedy;Adult Cast, Detective, Workplace;Shounen;PG-13 - Teens 13 or older
2259;Dr. Rin ni Kiitemite!;6.76;Studio Comet;Comedy, Fantasy, Romance;School;Shoujo;PG - Children
id_anime;anime_name;anime_score;studioname;genre;themes;demographic;rating
3561;Dennou Boukenki Webdiver;6.93;Radix;Adventure, Sci-Fi;Mecha;Shounen;PG - Children
