id_anime;anime_name;anime_score;studioname;genre;themes;demographic;rating
4898;Kuroshitsuji;7.67;A-1 Pictures;Action, Comedy, Mystery, Supernatural;Historical, Mythology;Shounen;R - 17+ (violence & profanity)
4214;Rosario to Vampire Capu2;6.91;Gonzo;Comedy, Fantasy, Romance, Ecchi;Harem, School, Vampire;Shounen;PG-13 - Teens 13 or older
4752;Vampire Knight Guilty;7.11;Studio Deen;Drama, Mystery, Romance, Supernatural;Love Polygon, Vampire;Shoujo;PG-13 - Teens 13 or older
4722;Skip Beat!;8.09;Hal Film Maker;Comedy, Drama, Romance;Love Polygon, Showbiz;Shoujo;PG-13 - Teens 13 or older
5040;One Outs;8.33;Madhouse;Sports;Adult Cast, Psychological, Team Sports;Seinen;PG-13 - Teens 13 or older
3958;Kannagi;7.29;A-1 Pictures;Comedy, Supernatural;School, Visual Arts;Shounen;PG-13 - Teens 13 or older
4548;Yozakura Quartet;6.8;Nomad;Action, Comedy, Supernatural;Super Power;Shounen;PG-13 - Teens 13 or older
4477;Nodame Cantabile: Paris-hen;8.14;J.C.Staff;Comedy, Romance;Adult Cast, Music;Josei;PG-13 - Teens 13 or older
4551;Hakushaku to Yousei;7.21;Artland;Adventure, Fantasy, Romance;Historical, Mythology;Shoujo;PG-13 - Teens 13 or older
5262;Shugo Chara!! Doki;7.41;Satelight;Comedy;Mahou Shoujo, School;Shoujo;PG - Children
id_anime;anime_name;anime_score;studioname;genre;themes;demographic;rating
5039;Kurozuka;6.88;Madhouse;Action, Drama, Horror, Romance, Sci-Fi;Historical, Vampire;Seinen;R - 17+ (violence & profanity)
3464;Kemeko Deluxe!;6.55;Hal Film Maker;Action, Comedy, Romance, Sci-Fi, Ecchi;School;Shounen;PG-13 - Teens 13 or older
4903;Kyou no 5 no 2 (TV);7.2;Xebec;Comedy, Ecchi;School;Seinen;PG-13 - Teens 13 or older
5005;Tentai Senshi Sunred;7.75;AIC ASTA;Comedy;Gag Humor, Parody, Super Power;Seinen;PG-13 - Teens 13 or older
