id_anime;anime_name;anime_score;studioname;genre;themes;demographic;rating
19;Monster;8.85;Madhouse;Drama, Mystery, Suspense;Adult Cast, Psychological;Seinen;R+ - Mild Nudity
384;Gantz;7;Gonzo;Action, Drama, Horror, Sci-Fi, Supernatural, Ecchi;Gore, Psychological, Survival;Seinen;R+ - Mild Nudity
174;Tenjou Tenge;6.88;Madhouse;Action, Comedy, Ecchi;Martial Arts, School, Super Power;Shounen;R - 17+ (violence & profanity)
18;Initial D Fourth Stage;8.15;A.C.G.T.;Action, Drama;Racing;Seinen;PG-13 - Teens 13 or older
251;Kyou kara Maou!;7.64;Studio Deen;Adventure, Comedy, Fantasy;Isekai, Mythology;Shoujo;PG-13 - Teens 13 or older
102;Aishiteruze Baby★★;7.45;TMS Entertainment;Comedy, Drama, Romance;Childcare;Shoujo;PG-13 - Teens 13 or older
634;Koi Kaze;7.05;A.C.G.T.;Drama, Romance;Psychological;Seinen;R - 17+ (violence & profanity)
516;Keroro Gunsou;7.69;Sunrise;Comedy, Sci-Fi;Mecha, Parody;Shounen;PG-13 - Teens 13 or older
1110;Mermaid Melody Pichi Pichi Pitch Pure;7.17;Actas;Adventure, Comedy, Romance;Mahou Shoujo, Music;Shoujo;PG - Children
340;Mutsu Enmei Ryuu Gaiden: Shura no Toki;7.55;Studio Comet;Action;Historical, Martial Arts, Samurai;Shounen;PG-13 - Teens 13 or older
649;Hanaukyou Maid-tai: La Verite;6.76;Daume;Comedy, Romance, Ecchi;Harem;Shounen;R+ - Mild Nudity
131;Saiyuuki Reload Gunlock;7.38;Pierrot;Action, Adventure, Comedy, Drama, Supernatural;Mythology;Josei;PG-13 - Teens 13 or older
159;Boukyaku no Senritsu;6.3;Gainax;Adventure, Fantasy, Horror, Sci-Fi, Supernatural;Mecha, Psychological, Space;Shounen;PG-13 - Teens 13 or older
5967;Kinnikuman II Sei: Ultimate Muscle;6.94;Toei Animation;Action, Comedy, Sci-Fi, Sports;Combat Sports, Martial Arts;Shounen;PG-13 - Teens 13 or older
2337;Tetsujin 28-gou (2004);7.3;Palm Studio;Adventure, Drama, Sci-Fi;Historical, Mecha;Shounen;G - All Ages
2234;Panda-Z: The Robonimation;6.13;Bee Train;Action, Comedy, Sci-Fi;Mecha, Parody;Kids;PG - Children
3182;Massugu ni Ikou. 2nd Season;6.53;Yumeta Company;Comedy, Romance, Slice of Life;Pets;Josei;PG - Children
