id_anime;anime_name;anime_score;studioname;genre;themes;demographic;rating
14719;JoJo no Kimyou na Bouken (TV);7.9;David Production;Action, Adventure, Supernatural;Vampire;Shounen;R - 17+ (violence & profanity)
14227;Tonari no Kaibutsu-kun;7.48;Brain's Base;Comedy, Romance;School;Shoujo;PG-13 - Teens 13 or older
14345;Btooom!;7.3;Madhouse;Action, Sci-Fi;High Stakes Game, Psychological, Survival;Seinen;R - 17+ (violence & profanity)
14289;Suki tte Ii na yo.;7.42;Zexcs;Drama, Romance;School;Shoujo;PG-13 - Teens 13 or older
14713;Kamisama Hajimemashita;8.09;TMS Entertainment;Comedy, Fantasy, Romance;Mythology;Shoujo;PG-13 - Teens 13 or older
14075;Zetsuen no Tempest;7.92;Bones;Action, Drama, Fantasy, Mystery;Psychological;Shounen;PG-13 - Teens 13 or older
13663;To LOVE-Ru Darkness;7.44;Xebec;Comedy, Romance, Sci-Fi, Ecchi;Harem, School;Shounen;R+ - Mild Nudity
11703;Code:Breaker;6.73;Kinema Citrus;Action, Comedy, Supernatural;School, Super Power;Shounen;R - 17+ (violence & profanity)
12365;Bakuman. 3rd Season;8.54;J.C.Staff;Comedy, Drama, Romance;Otaku Culture;Shounen;PG-13 - Teens 13 or older
15417;Gintama': Enchousen;9.03;Sunrise;Action, Comedy, Sci-Fi;Gag Humor, Historical, Parody, Samurai;Shounen;PG-13 - Teens 13 or older
13331;Jormungand: Perfect Order;7.9;White Fox;Action, Adventure;Organized Crime;Seinen;R+ - Mild Nudity
14527;Medaka Box Abnormal;7.4;Gainax;Action, Comedy, Ecchi;Martial Arts, School, Super Power;Shounen;PG-13 - Teens 13 or older
15059;Initial D Fifth Stage;8.09;SynergySP;Action, Drama;Racing;Seinen;PG-13 - Teens 13 or older
id_anime;anime_name;anime_score;studioname;genre;themes;demographic;rating
15125;Teekyuu;6.56;MAPPA;Comedy, Sports;School;Shounen;PG-13 - Teens 13 or older
14653;Hayate no Gotoku! Can't Take My Eyes Off You;7.03;Manglobe;Comedy;Harem, Parody;Shounen;PG-13 - Teens 13 or older
14645;Hiiro no Kakera 2;7.17;Studio Deen;Fantasy, Romance, Supernatural;Reverse Harem;Shoujo;PG-13 - Teens 13 or older
15061;Aikatsu!;7.44;Sunrise;Slice of Life;Idols (Female), Music, School;Shoujo;PG - Children
15489;Yu☆Gi☆Oh! Zexal Second;6.86;Gallop;Action, Fantasy;Strategy Game;Shounen;PG-13 - Teens 13 or older
14989;Chousoku Henkei Gyrozetter;6.45;A-1 Pictures;Action;Mecha, Racing;Shounen;G - All Ages
id_anime;anime_name;anime_score;studioname;genre;themes;demographic;rating
