id_anime;anime_name;anime_score;studioname;genre;themes;demographic;rating
687;Tokyo Mew Mew;7.06;Pierrot;Fantasy, Romance, Sci-Fi;Mahou Shoujo;Shoujo;PG-13 - Teens 13 or older
53;Ai Yori Aoshi;7.11;J.C.Staff;Comedy, Drama, Romance;Harem;Seinen;PG-13 - Teens 13 or older
122;Full Moon wo Sagashite;7.94;Studio Deen;Comedy, Drama, Romance, Supernatural;Music;Shoujo;PG-13 - Teens 13 or older
1710;Rockman.EXE;6.91;Xebec;Action, Adventure, Comedy, Sci-Fi;Mecha, Video Game;Shounen;PG-13 - Teens 13 or older
175;Tokyo Underground;6.6;Pierrot;Action, Adventure, Romance, Sci-Fi;Super Power;Shounen;PG-13 - Teens 13 or older
200;Tenshi na Konamaiki;7.44;TMS Entertainment;Comedy, Romance;Magical Sex Shift;Shounen;PG-13 - Teens 13 or older
162;Pita Ten;6.93;Madhouse;Comedy, Fantasy, Romance;School;Shounen;G - All Ages
1744;Wagamama☆Fairy Mirumo de Pon!;7.29;Studio Hibari;Adventure, Comedy, Drama, Fantasy, Romance;School;Shoujo;G - All Ages
183;Whistle!;7.39;Studio Comet;Sports;School, Team Sports;Shounen;G - All Ages
1706;Gun Frontier;6.53;Vega Entertainment;Action, Adventure, Drama, Sci-Fi;Historical;Seinen;PG-13 - Teens 13 or older
1745;Wild 7 Another Bouryaku Unga;5.25;E&G Films;Action, Adventure, Mystery;Detective, Gore;Shounen;R - 17+ (violence & profanity)
id_anime;anime_name;anime_score;studioname;genre;themes;demographic;rating
