id_anime;anime_name;anime_score;studioname;genre;themes;demographic;rating
5114;Fullmetal Alchemist: Brotherhood;9.11;Bones;Action, Adventure, Drama, Fantasy;Military;Shounen;R - 17+ (violence & profanity)
6033;Dragon Ball Kai;7.72;Toei Animation;Action, Adventure, Comedy, Fantasy;Martial Arts, Super Power;Shounen;PG-13 - Teens 13 or older
5682;Phantom: Requiem for the Phantom;7.95;Bee Train;Action, Drama, Suspense;Organized Crime;Seinen;R+ - Mild Nudity
5525;07-Ghost;7.2;Studio Deen;Action, Fantasy;Military, Mythology;Josei;PG-13 - Teens 13 or older
5941;Cross Game;8.39;SynergySP;Drama, Romance, Sports;School, Team Sports;Shounen;PG-13 - Teens 13 or older
4192;Hayate no Gotoku!!;7.68;J.C.Staff;Action, Comedy, Romance;Harem, Parody;Shounen;PG-13 - Teens 13 or older
5150;Hatsukoi Limited.;7.28;J.C.Staff;Comedy, Romance;School;Shounen;PG-13 - Teens 13 or older
5671;Saki;7.46;Gonzo;Slice of Life;School, Strategy Game;Seinen;PG-13 - Teens 13 or older
5835;Hanasakeru Seishounen;7.7;Pierrot;Drama, Romance;Reverse Harem;Shoujo;PG-13 - Teens 13 or older
5597;Natsu no Arashi!;7.24;Shaft;Comedy, Romance, Supernatural;Time Travel;Shounen;PG-13 - Teens 13 or older
5984;Ristorante Paradiso;7.32;David Production;Drama, Gourmet, Romance;Workplace;Josei;PG-13 - Teens 13 or older
id_anime;anime_name;anime_score;studioname;genre;themes;demographic;rating
6024;Chi's Sweet Home: Atarashii Ouchi;7.71;Madhouse;Comedy, Slice of Life;Pets;Seinen;G - All Ages
5485;Shin Mazinger Shougeki! Z-hen;7.66;Bee Media;Action, Drama;Mecha, Super Power;Shounen;R - 17+ (violence & profanity)
6008;Jewelpet;6.79;Studio Comet;Fantasy;Anthropomorphic;Shoujo;PG - Children
6117;Gokujou!! Mecha Mote Iinchou;6.34;Shogakukan Music & Digital Entertainment;Comedy, Romance;School;Shoujo;PG - Children
7247;Naked Wolves;5.74;Kate Arrow;Action, Comedy, Sports;Combat Sports;Kids;PG - Children
